,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Ball,Height (m),,Theoretical Velocity (m/s),Experimental Velocity (m/s),v^2 (m^2/s^2)
Ping-Pong,0.00,,0,0,0
Ping-Pong,1.00,,4.43,4.04,19.6249
Ping-Pong,1.00,,4.43,4.31,19.6249
Ping-Pong,1.00,,4.43,4.31,19.6249
Ping-Pong,1.00,,4.43,3.92,19.6249
Ping-Pong,1.00,,4.43,3.63,19.6249
Ping-Pong,2.00,,6.26,6.33,39.1876
Ping-Pong,2.00,,6.26,7.94,39.1876
Ping-Pong,2.00,,6.26,6.37,39.1876
Ping-Pong,2.00,,6.26,5.29,39.1876
Ping-Pong,2.00,,6.26,6.17,39.1876
Ping-Pong,2.00,,6.26,5.88,39.1876
Ping-Pong,5.00,,9.9,12.25,98.01
Ping-Pong,5.00,,9.9,9.51,98.01
Ping-Pong,5.00,,9.9,8.92,98.01
Ping-Pong,5.00,,9.9,8.92,98.01
Ping-Pong,5.00,,9.9,10.68,98.01
Ping-Pong,5.00,,9.9,10.05,98.01
