Ball,Height (m),,Theoretical Velocity (m/s),Experimental Velocity (m/s)
Cricket,0.00,,0,0
Cricket,1.00,,4.43,4.25
Cricket,1.00,,4.43,3.72
Cricket,1.00,,4.43,4.21
Cricket,1.00,,4.43,4.61
Cricket,1.00,,4.43,4.31
Cricket,1.00,,4.43,4.41
,,,,
Cricket,2.00,,6.26,5.45
Cricket,2.00,,6.26,5
Cricket,2.00,,6.26,5.29
Cricket,2.00,,6.26,5.59
Cricket,2.00,,6.26,6.37
Cricket,2.00,,6.26,5
,,,,
Cricket,5.00,,9.9,8.19
Cricket,5.00,,9.9,7.35
Cricket,5.00,,9.9,8.53
Cricket,5.00,,9.9,8.82
Cricket,5.00,,9.9,8.04
Cricket,5.00,,9.9,8.23
